"ticker","DES"
"CY112445 Curncy","NA Japan Fin Sub IG 4Y CDSB"
"CY112550 Curncy","NA Japan Industrials IG 4Y"
"CY112270 Curncy","NA Japan Materials IG 4Y CD"
"CY112585 Curncy","NA Japan Tech IG 4Y CDSB Co"
"CY112620 Curncy","NA Japan Util IG 4Y CDSB Co"
"CY111225 Curncy","NA America Comm HY 5Y CDSB"
"CY111190 Curncy","NA America Comm IG 5Y CDSB"
"CY111295 Curncy","NA America Cons Disc HY 5Y"
"CY111260 Curncy","NA America Cons Disc IG 5Y"
"CY111365 Curncy","NA America Cons Stap HY 5Y"
"CY111330 Curncy","NA America Cons Stap IG 5Y"
"CY111435 Curncy","NA America Energy HY 5Y CDS"
"CY111400 Curncy","NA America Energy IG 5Y CDS"
"CY111575 Curncy","NA America Fin Sr HY 5Y CDS"
"CY111540 Curncy","NA America Fin Sr IG 5Y CDS"
"CY111470 Curncy","NA America Fin Sub IG 5Y CD"
"CY111645 Curncy","NA America Health HY 5Y CDS"
"CY111610 Curncy","NA America Health IG 5Y CDS"
"CY111680 Curncy","NA America Industrials IG 5"
"CY111155 Curncy","NA America Materials HY 5Y"
"CY111120 Curncy","NA America Materials IG 5Y"
"CY111785 Curncy","NA America Tech HY 5Y CDSB"
"CY111750 Curncy","NA America Tech IG 5Y CDSB"
"CY111855 Curncy","NA America Util HY 5Y CDSB"
"CY111820 Curncy","NA America Util IG 5Y CDSB"
"CY111925 Curncy","NA Asia EXJP Comm IG 5Y CDS"
"CY111960 Curncy","NA Asia EXJP Cons Disc IG 5"
"CY112030 Curncy","NA Asia EXJP Energy IG 5Y C"
"CY112100 Curncy","NA Asia EXJP Fin Sr IG 5Y C"
"CY112065 Curncy","NA Asia EXJP Fin Sub IG 5Y"
"CY113185 Curncy","NA Europe Comm HY 5Y CDSB C"
"CY113150 Curncy","NA Europe Comm IG 5Y CDSB C"
"CY113255 Curncy","NA Europe Cons Disc HY 5Y C"
"CY113220 Curncy","NA Europe Cons Disc IG 5Y C"
"CY113290 Curncy","NA Europe Cons Stap IG 5Y C"
"CY113360 Curncy","NA Europe Energy IG 5Y CDSB"
"CY113535 Curncy","NA Europe Fin Sr HY 5Y CDSB"
"CY113500 Curncy","NA Europe Fin Sr IG 5Y CDSB"
"CY113465 Curncy","NA Europe Fin Sub HY 5Y CDS"
"CY113430 Curncy","NA Europe Fin Sub IG 5Y CDS"
"CY113570 Curncy","NA Europe Health IG 5Y CDSB"
"CY113640 Curncy","NA Europe Industrials IG 5Y"
"CY113115 Curncy","NA Europe Materials HY 5Y C"
"CY113080 Curncy","NA Europe Materials IG 5Y C"
"CY113745 Curncy","NA Europe Tech HY 5Y CDSB C"
"CY113710 Curncy","NA Europe Tech IG 5Y CDSB C"
"CY113780 Curncy","NA Europe Util IG 5Y CDSB C"
"CY112345 Curncy","NA Japan Cons Disc IG 5Y CD"
"CY112380 Curncy","NA Japan Cons Stap IG 5Y CD"
"CY112485 Curncy","NA Japan Fin Sr IG 5Y CDSB"
"CY112450 Curncy","NA Japan Fin Sub IG 5Y CDSB"
"CY112555 Curncy","NA Japan Industrials IG 5Y"
"CY112275 Curncy","NA Japan Materials IG 5Y CD"
"CY112590 Curncy","NA Japan Tech IG 5Y CDSB Co"
"CY112625 Curncy","NA Japan Util IG 5Y CDSB Co"
"CY111230 Curncy","NA America Comm HY 7Y CDSB"
"CY111195 Curncy","NA America Comm IG 7Y CDSB"
"CY111300 Curncy","NA America Cons Disc HY 7Y"
"CY111265 Curncy","NA America Cons Disc IG 7Y"
"CY111370 Curncy","NA America Cons Stap HY 7Y"
"CY111335 Curncy","NA America Cons Stap IG 7Y"
"CY111440 Curncy","NA America Energy HY 7Y CDS"
"CY111405 Curncy","NA America Energy IG 7Y CDS"
"CY111580 Curncy","NA America Fin Sr HY 7Y CDS"
"CY111545 Curncy","NA America Fin Sr IG 7Y CDS"
"CY111475 Curncy","NA America Fin Sub IG 7Y CD"
"CY111650 Curncy","NA America Health HY 7Y CDS"
"CY111615 Curncy","NA America Health IG 7Y CDS"
"CY111685 Curncy","NA America Industrials IG 7"
"CY111160 Curncy","NA America Materials HY 7Y"
"CY111125 Curncy","NA America Materials IG 7Y"
"CY111790 Curncy","NA America Tech HY 7Y CDSB"
"CY111755 Curncy","NA America Tech IG 7Y CDSB"
"CY111860 Curncy","NA America Util HY 7Y CDSB"
"CY111825 Curncy","NA America Util IG 7Y CDSB"
"CY111930 Curncy","NA Asia EXJP Comm IG 7Y CDS"
"CY111965 Curncy","NA Asia EXJP Cons Disc IG 7"
"CY112035 Curncy","NA Asia EXJP Energy IG 7Y C"
"CY112105 Curncy","NA Asia EXJP Fin Sr IG 7Y C"
"CY112070 Curncy","NA Asia EXJP Fin Sub IG 7Y"
"CY113190 Curncy","NA Europe Comm HY 7Y CDSB C"
"CY113155 Curncy","NA Europe Comm IG 7Y CDSB C"
"CY113260 Curncy","NA Europe Cons Disc HY 7Y C"
"CY113225 Curncy","NA Europe Cons Disc IG 7Y C"
"CY113295 Curncy","NA Europe Cons Stap IG 7Y C"
"CY113365 Curncy","NA Europe Energy IG 7Y CDSB"
"CY113540 Curncy","NA Europe Fin Sr HY 7Y CDSB"
"CY113505 Curncy","NA Europe Fin Sr IG 7Y CDSB"
"CY113470 Curncy","NA Europe Fin Sub HY 7Y CDS"
"CY113435 Curncy","NA Europe Fin Sub IG 7Y CDS"
"CY113575 Curncy","NA Europe Health IG 7Y CDSB"
"CY113645 Curncy","NA Europe Industrials IG 7Y"
"CY113120 Curncy","NA Europe Materials HY 7Y C"
"CY113085 Curncy","NA Europe Materials IG 7Y C"
"CY113750 Curncy","NA Europe Tech HY 7Y CDSB C"
"CY113715 Curncy","NA Europe Tech IG 7Y CDSB C"
"CY113785 Curncy","NA Europe Util IG 7Y CDSB C"
"CY112350 Curncy","NA Japan Cons Disc IG 7Y CD"
"CY112385 Curncy","NA Japan Cons Stap IG 7Y CD"
