DES,ticker
LIVESTOCK - CME FEEDER CATTLE Other Reportables Spreading,CFFDFORD Index
LIVESTOCK - CME FEEDER CATTLE Non Commercial Net Position,CME1FNCN Index
LIVESTOCK-CME LEAN HOGS 1st Contract Price,LH1 Comdty
LIVESTOCK-CME LEAN HOGS Non Comercial Long,CME3HNCL Index
LIVESTOCK-CME LEAN HOGS Non Comercial Short,CME3HNCS Index
LIVESTOCK-CME LEAN HOGS Non Comercial Spreading,CME3HNCP Index
LIVESTOCK-CME LEAN HOGS Commercial Long,CME3HCOL Index
LIVESTOCK-CME LEAN HOGS Commercial Short,CME3HCOS Index
LIVESTOCK-CME LEAN HOGS Total Long,CME3HTLL Index
LIVESTOCK-CME LEAN HOGS Total Short,CME3HTLS Index
LIVESTOCK-CME LEAN HOGS Open Interest,CME3HOIN Index
LIVESTOCK-CME LEAN HOGS Non Reportable Long,CME3HNRL Index
LIVESTOCK-CME LEAN HOGS Non Reportable Short,CME3HNRS Index
LIVESTOCK-CME LEAN HOGS Managed Money Long,CFFDDMML Index
LIVESTOCK-CME LEAN HOGS Managed Money Short,CFFDDMMS Index
LIVESTOCK-CME LEAN HOGS Producer Long,CFFDDPML Index
LIVESTOCK-CME LEAN HOGS Producer Short,CFFDDPMS Index
LIVESTOCK-CME LEAN HOGS Swap Dealers Long,CFFDDSWL Index
LIVESTOCK-CME LEAN HOGS Swap Dealers Short,CFFDDSWS Index
LIVESTOCK-CME LEAN HOGS Swap Dealers Spreading,CFFDDSWD Index
LIVESTOCK-CME LEAN HOGS Managed Money Spread,CFFDDMMD Index
LIVESTOCK-CME LEAN HOGS Other Reportables Long,CFFDDORL Index
LIVESTOCK-CME LEAN HOGS Other Reportables Short,CFFDDORS Index
LIVESTOCK-CME LEAN HOGS Other Reportables Spreading,CFFDDORD Index
LIVESTOCK-CME LEAN HOGS Non Commercial Net Position,CME3HNCN Index
LIVESTOCK - CME LIVE CATTLE 1st Contract Price,LC1 Comdty
LIVESTOCK - CME LIVE CATTLE Non Comercial Long,CME1LNCL Index
LIVESTOCK - CME LIVE CATTLE Non Comercial Short,CME1LNCS Index
LIVESTOCK - CME LIVE CATTLE Non Comercial Spreading,CME1LNCP Index
LIVESTOCK - CME LIVE CATTLE Commercial Long,CME1LCOL Index
LIVESTOCK - CME LIVE CATTLE Commercial Short,CME1LCOS Index
LIVESTOCK - CME LIVE CATTLE Total Long,CME1LTLL Index
LIVESTOCK - CME LIVE CATTLE Total Short,CME1LTLS Index
LIVESTOCK - CME LIVE CATTLE Open Interest,CME1LOIN Index
LIVESTOCK - CME LIVE CATTLE Non Reportable Long,CME1LNRL Index
LIVESTOCK - CME LIVE CATTLE Non Reportable Short,CME1LNRS Index
LIVESTOCK - CME LIVE CATTLE Managed Money Long,CFFDEMML Index
LIVESTOCK - CME LIVE CATTLE Managed Money Short,CFFDEMMS Index
LIVESTOCK - CME LIVE CATTLE Producer Long,CFFDEPML Index
LIVESTOCK - CME LIVE CATTLE Producer Short,CFFDEPMS Index
LIVESTOCK - CME LIVE CATTLE Swap Dealers Long,CFFDESWL Index
LIVESTOCK - CME LIVE CATTLE Swap Dealers Short,CFFDESWS Index
LIVESTOCK - CME LIVE CATTLE Swap Dealers Spreading,CFFDESWD Index
LIVESTOCK - CME LIVE CATTLE Managed Money Spread,CFFDEMMD Index
LIVESTOCK - CME LIVE CATTLE Other Reportables Long,CFFDEORL Index
LIVESTOCK - CME LIVE CATTLE Other Reportables Short,CFFDEORS Index
LIVESTOCK - CME LIVE CATTLE Other Reportables Spreading,CFFDEORD Index
LIVESTOCK - CME LIVE CATTLE Non Commercial Net Position,CME1LNCN Index
FOODSTUFF -  CME MILK (class III) 1st Contract Price,DA1 comdty
FOODSTUFF -  CME MILK (class III) Non Comercial Long,CME4MNCL Index
FOODSTUFF -  CME MILK (class III) Non Comercial Short,CME4MNCS Index
FOODSTUFF -  CME MILK (class III) Non Comercial Spreading,CME4MNCP Index
FOODSTUFF -  CME MILK (class III) Commercial Long,CME4MCOL Index
FOODSTUFF -  CME MILK (class III) Commercial Short,CME4MCOS Index
FOODSTUFF -  CME MILK (class III) Total Long,CME4MTLL Index
FOODSTUFF -  CME MILK (class III) Total Short,CME4MTLS Index
FOODSTUFF -  CME MILK (class III) Open Interest,CME4MOIN Index
FOODSTUFF -  CME MILK (class III) Non Reportable Long,CME4MNRL Index
FOODSTUFF -  CME MILK (class III) Non Reportable Short,CME4MNRS Index
FOODSTUFF -  CME MILK (class III) Managed Money Long,DFU2JMML Index
FOODSTUFF -  CME MILK (class III) Managed Money Short,DFU2JMMS Index
FOODSTUFF -  CME MILK (class III) Producer Long,DFU2JPML Index
FOODSTUFF -  CME MILK (class III) Producer Short,DFU2JPMS Index
FOODSTUFF -  CME MILK (class III) Swap Dealers Long,DFU2JSWL Index
FOODSTUFF -  CME MILK (class III) Swap Dealers Short,DFU2JSWS Index
FOODSTUFF -  CME MILK (class III) Swap Dealers Spreading,DFU2JSWD Index
FOODSTUFF -  CME MILK (class III) Managed Money Spread,DFU2JMMD Index
FOODSTUFF -  CME MILK (class III) Other Reportables Long,DFU2JORL Index
FOODSTUFF -  CME MILK (class III) Other Reportables Short,DFU2JORS Index
FOODSTUFF -  CME MILK (class III) Other Reportables Spreading,DFU2JORD Index
FOODSTUFF -  CME MILK (class III) Non Commercial Net Position,CME4MNCN Index
FOODSTUFF -  CME BUTTER (Grade AA) 1st Contract Price,v61 comdty
FOODSTUFF -  CME BUTTER (Grade AA) Non Comercial Long,CCBFTNCL Index
FOODSTUFF -  CME BUTTER (Grade AA) Non Comercial Short,CCBFTNCS Index
FOODSTUFF -  CME BUTTER (Grade AA) Non Comercial Spreading,CCBFTNCP Index
FOODSTUFF -  CME BUTTER (Grade AA) Commercial Long,CCBFTCOL Index
FOODSTUFF -  CME BUTTER (Grade AA) Commercial Short,CCBFTCOS Index
FOODSTUFF -  CME BUTTER (Grade AA) Total Long,CCBFTTLL Index
FOODSTUFF -  CME BUTTER (Grade AA) Total Short,CCBFTTLS Index
FOODSTUFF -  CME BUTTER (Grade AA) Open Interest,CCBFTOIN Index
FOODSTUFF -  CME BUTTER (Grade AA) Non Reportable Long,CCBFTNRL Index
FOODSTUFF -  CME BUTTER (Grade AA) Non Reportable Short,CCBFTNRS Index
FOODSTUFF -  CME BUTTER (Grade AA) Managed Money Long,CMB1AMML Index
FOODSTUFF -  CME BUTTER (Grade AA) Managed Money Short,CMB1AMMS Index
FOODSTUFF -  CME BUTTER (Grade AA) Producer Long,CMB1APML Index
FOODSTUFF -  CME BUTTER (Grade AA) Producer Short,CMB1APMS Index
FOODSTUFF -  CME BUTTER (Grade AA) Swap Dealers Long,CMB1ASWL Index
FOODSTUFF -  CME BUTTER (Grade AA) Swap Dealers Short,CMB1ASWS Index
FOODSTUFF -  CME BUTTER (Grade AA) Swap Dealers Spreading,CMB1ASWD Index
FOODSTUFF -  CME BUTTER (Grade AA) Managed Money Spread,CMB1AMMD Index
FOODSTUFF -  CME BUTTER (Grade AA) Other Reportables Long,CMB1AORL Index
FOODSTUFF -  CME BUTTER (Grade AA) Other Reportables Short,CMB1AORS Index
FOODSTUFF -  CME BUTTER (Grade AA) Other Reportables Spreading,CMB1AORD Index
FOODSTUFF -  CME BUTTER (Grade AA) Non Commercial Net Position,CCBFTNCN Index
OIL - NYM CRUDE OIL 1st Contract Price,CL1 Comdty
OIL - NYM CRUDE OIL Non Comercial Long,NYM1CNCL Index
OIL - NYM CRUDE OIL Non Comercial Short,NYM1CNCS Index
OIL - NYM CRUDE OIL Non Comercial Spreading,NYM1CNCP Index
OIL - NYM CRUDE OIL Commercial Long,NYM1CCOL Index
OIL - NYM CRUDE OIL Commercial Short,NYM1CCOS Index
OIL - NYM CRUDE OIL Total Long,NYM1CTLL Index
OIL - NYM CRUDE OIL Total Short,NYM1CTLS Index
OIL - NYM CRUDE OIL Open Interest,NYM1COIN Index
OIL - NYM CRUDE OIL Non Reportable Long,NYM1CNRL Index
OIL - NYM CRUDE OIL Non Reportable Short,NYM1CNRS Index
OIL - NYM CRUDE OIL Managed Money Long,CFFDQMML Index
OIL - NYM CRUDE OIL Managed Money Short,CFFDQMMS Index
OIL - NYM CRUDE OIL Producer Long,CFFDQPML Index
OIL - NYM CRUDE OIL Producer Short,CFFDQPMS Index
OIL - NYM CRUDE OIL Swap Dealers Long,CFFDQSWL Index
OIL - NYM CRUDE OIL Swap Dealers Short,CFFDQSWS Index
OIL - NYM CRUDE OIL Swap Dealers Spreading,CFFDQSWD Index
OIL - NYM CRUDE OIL Managed Money Spread,CFFDQMMD Index
OIL - NYM CRUDE OIL Other Reportables Long,CFFDQORL Index
OIL - NYM CRUDE OIL Other Reportables Short,CFFDQORS Index
OIL - NYM CRUDE OIL Other Reportables Spreading,CFFDQORD Index
OIL - NYM CRUDE OIL Non Commercial Net Position,NYM1CNCN Index
OIL - NYM GASOLINE RBOB 1st Contract Price,XB1 Comdty
OIL - NYM GASOLINE RBOB Non Comercial Long,NYM2XNCL Index
OIL - NYM GASOLINE RBOB Non Comercial Short,NYM2XNCS Index
